category,concept_id,score,fi
DuraMed,2616967,1,vafi
DuraMed,2616968,1,vafi
DuraMed,2616969,1,vafi
DuraMed,2616970,1,vafi
DuraMed,2616971,1,vafi
DuraMed,2616972,1,vafi
Kidney,4281167,1,vafi
DuraMed,4281167,1,vafi
DuraMed,2616974,1,vafi
DuraMed,2616975,1,vafi
Kidney,2616990,1,vafi
DuraMed,2616991,1,vafi
DuraMed,2616992,1,vafi
DuraMed,2616993,1,vafi
DuraMed,2617018,1,vafi
DuraMed,2617019,1,vafi
DuraMed,2617020,1,vafi
DuraMed,2617021,1,vafi
DuraMed,2617022,1,vafi
DuraMed,2617023,1,vafi
DuraMed,2617024,1,vafi
DuraMed,2617025,1,vafi
DuraMed,2617026,1,vafi
DuraMed,2617027,1,vafi
DuraMed,2617028,1,vafi
DuraMed,2617029,1,vafi
DuraMed,2617030,1,vafi
DuraMed,2617031,1,vafi
DuraMed,2617032,1,vafi
DuraMed,2617035,1,vafi
DuraMed,2617036,1,vafi
DuraMed,2617037,1,vafi
DuraMed,2617038,1,vafi
DuraMed,2617039,1,vafi
DuraMed,2617041,1,vafi
DuraMed,2617042,1,vafi
DuraMed,2617043,1,vafi
DuraMed,2617044,1,vafi
DuraMed,2617045,1,vafi
DuraMed,2617047,1,vafi
DuraMed,2617048,1,vafi
DuraMed,2617050,1,vafi
DuraMed,2617051,1,vafi
DuraMed,2617053,1,vafi
DuraMed,2617054,1,vafi
DuraMed,2617055,1,vafi
DuraMed,2617056,1,vafi
DuraMed,2617059,1,vafi
DuraMed,2617060,1,vafi
DuraMed,2617061,1,vafi
DuraMed,2617062,1,vafi
DuraMed,2617063,1,vafi
DuraMed,2617064,1,vafi
DuraMed,2617065,1,vafi
DuraMed,2617066,1,vafi
DuraMed,2617067,1,vafi
DuraMed,2617068,1,vafi
DuraMed,2617069,1,vafi
DuraMed,2617070,1,vafi
DuraMed,2617071,1,vafi
DuraMed,2617072,1,vafi
DuraMed,2617073,1,vafi
DuraMed,2617074,1,vafi
DuraMed,2617075,1,vafi
DuraMed,2617076,1,vafi
DuraMed,2617077,1,vafi
DuraMed,2617078,1,vafi
DuraMed,2617079,1,vafi
DuraMed,2617080,1,vafi
DuraMed,2617081,1,vafi
DuraMed,2617082,1,vafi
DuraMed,2617083,1,vafi
DuraMed,2617084,1,vafi
DuraMed,2617085,1,vafi
DuraMed,2617086,1,vafi
DuraMed,2617087,1,vafi
DuraMed,2617088,1,vafi
DuraMed,2617089,1,vafi
DuraMed,2617090,1,vafi
DuraMed,2617091,1,vafi
DuraMed,2617092,1,vafi
DuraMed,2617093,1,vafi
DuraMed,2617094,1,vafi
DuraMed,2617095,1,vafi
DuraMed,2617096,1,vafi
DuraMed,2617097,1,vafi
DuraMed,2617098,1,vafi
DuraMed,2617099,1,vafi
DuraMed,2617100,1,vafi
DuraMed,2617101,1,vafi
DuraMed,2617102,1,vafi
DuraMed,2617103,1,vafi
DuraMed,2617104,1,vafi
DuraMed,2617105,1,vafi
DuraMed,2617106,1,vafi
DuraMed,2617107,1,vafi
DuraMed,2617108,1,vafi
DuraMed,2617109,1,vafi
DuraMed,2617110,1,vafi
DuraMed,2617122,1,vafi
DuraMed,2617123,1,vafi
DuraMed,2617124,1,vafi
DuraMed,2617125,1,vafi
DuraMed,2617126,1,vafi
DuraMed,2617127,1,vafi
DuraMed,2617128,1,vafi
DuraMed,2617129,1,vafi
DuraMed,2617130,1,vafi
DuraMed,2617131,1,vafi
DuraMed,2617132,1,vafi
DuraMed,2617133,1,vafi
DuraMed,2617134,1,vafi
DuraMed,2617135,1,vafi
DuraMed,2617136,1,vafi
DuraMed,2617137,1,vafi
DuraMed,2617138,1,vafi
DuraMed,2617139,1,vafi
DuraMed,2617140,1,vafi
DuraMed,2617141,1,vafi
DuraMed,2617142,1,vafi
Kidney,2617342,1,vafi
Kidney,2617401,1,vafi
Kidney,2617405,1,vafi
Kidney,2617544,1,vafi
Kidney,2617545,1,vafi
Kidney,2617550,1,vafi
Kidney,2617551,1,vafi
Kidney,2617552,1,vafi
Depress,2617571,1,vafi
Depress,2617572,1,vafi
Depress,2617831,1,vafi
Diabetes,2617893,1,vafi
Kidney,2617894,1,vafi
Arthritis,2617898,1,vafi
Depress,2617910,1,vafi
Cancer,2617995,1,vafi
Cancer,2618012,1,vafi
Cancer,2618023,1,vafi
Cancer,2618029,1,vafi
Cancer,2618057,1,vafi
