category,concept_id,score,fi,chronic_category
Diabetes,4306250,1,efi_sno,1
Diabetes,4016901,1,efi_sno,1
Diabetes,4016042,1,efi_sno,1
Diabetes,440922,1,efi_sno,1
Diabetes,4016904,1,efi_sno,1
Diabetes,4017048,1,efi_sno,1
Diabetes,4016050,1,efi_sno,1
Diabetes,4090231,1,efi_sno,1
Diabetes,201820,1,efi_sno,1
Diabetes,4008576,1,efi_sno,1
Diabetes,40386354,1,efi_sno,1
Diabetes,443727,1,efi_sno,1
Diabetes,439770,1,efi_sno,1
Diabetes,443734,1,efi_sno,1
Diabetes,4226238,1,efi_sno,1
Diabetes,4095288,1,efi_sno,1
Diabetes,4224254,1,efi_sno,1
Diabetes,4228443,1,efi_sno,1
Diabetes,443735,1,efi_sno,1
Diabetes,192279,1,efi_sno,1
Diabetes,443767,1,efi_sno,1
Diabetes,40386739,1,efi_sno,1
Diabetes,376065,1,efi_sno,1
Diabetes,443730,1,efi_sno,1
Diabetes,40386745,1,efi_sno,1
Diabetes,321822,1,efi_sno,1
Diabetes,200687,1,efi_sno,1
Diabetes,42538169,1,efi_sno,1
Diabetes,377821,1,efi_sno,1
Diabetes,4224709,1,efi_sno,1
Diabetes,4099214,1,efi_sno,1
Diabetes,4096668,1,efi_sno,1
Diabetes,4227210,1,efi_sno,1
Diabetes,40484648,1,efi_sno,1
Diabetes,4099215,1,efi_sno,1
Diabetes,44793113,1,efi_sno,1
Diabetes,443731,1,efi_sno,1
Diabetes,443733,1,efi_sno,1
Diabetes,4099216,1,efi_sno,1
Diabetes,4099651,1,efi_sno,1
Diabetes,4099217,1,efi_sno,1
Diabetes,4226121,1,efi_sno,1
Diabetes,40482801,1,efi_sno,1
Diabetes,4096041,1,efi_sno,1
Diabetes,4099653,1,efi_sno,1
Diabetes,442793,1,efi_sno,1
Diabetes,4175440,1,efi_sno,1
Diabetes,40391611,1,efi_sno,1
Diabetes,4105016,1,efi_sno,1
Diabetes,4105639,1,efi_sno,1
Diabetes,4101892,1,efi_sno,1
Diabetes,4174977,1,efi_sno,1
Diabetes,376683,1,efi_sno,1
Diabetes,376979,1,efi_sno,1
Diabetes,4063569,1,efi_sno,1
Diabetes,4043582,1,efi_sno,1
Diabetes,4046332,1,efi_sno,1
Diabetes,4048028,1,efi_sno,1
Diabetes,4334884,1,efi_sno,1
Diabetes,201254,1,efi_sno,1
Diabetes,201826,1,efi_sno,1
Diabetes,4130162,1,efi_sno,1
Diabetes,43531640,1,efi_sno,1
Diabetes,4130164,1,efi_sno,1
Diabetes,4130166,1,efi_sno,1
Diabetes,4263090,1,efi_sno,1
Diabetes,4146454,1,efi_sno,1
Diabetes,4276582,1,efi_sno,1
Diabetes,4208076,1,efi_sno,1
Diabetes,380097,1,efi_sno,1
Diabetes,378743,1,efi_sno,1
Diabetes,377552,1,efi_sno,1
Diabetes,376114,1,efi_sno,1
Diabetes,443412,1,efi_sno,1
Diabetes,4193704,1,efi_sno,1
Diabetes,4225055,1,efi_sno,1
Diabetes,37017431,1,efi_sno,1
Diabetes,4222415,1,efi_sno,1
Diabetes,37017432,1,efi_sno,1
Diabetes,4225656,1,efi_sno,1
Diabetes,4221495,1,efi_sno,1
Diabetes,45769830,1,efi_sno,1
Diabetes,4200875,1,efi_sno,1
Diabetes,4196141,1,efi_sno,1
Diabetes,4198296,1,efi_sno,1
Diabetes,4151281,1,efi_sno,1
Diabetes,36714116,1,efi_sno,1
Diabetes,4190441,1,efi_sno,1
Diabetes,4086751,1,efi_sno,1
Diabetes,4047556,1,efi_sno,1
Diabetes,4295036,1,efi_sno,1
Diabetes,4269024,1,efi_sno,1
Diabetes,4128221,1,efi_sno,1
Diabetes,4030664,1,efi_sno,1
Diabetes,4222553,1,efi_sno,1
Diabetes,4295011,1,efi_sno,1
Diabetes,4223739,1,efi_sno,1
Diabetes,4221487,1,efi_sno,1
Diabetes,44803911,1,efi_sno,1
Diabetes,44803689,1,efi_sno,1
Diabetes,44803836,1,efi_sno,1
Diabetes,4236285,1,efi_sno,1
Diabetes,4256630,1,efi_sno,1
Diabetes,4235255,1,efi_sno,1
Diabetes,4255392,1,efi_sno,1
Diabetes,4235256,1,efi_sno,1
Diabetes,4255399,1,efi_sno,1
Diabetes,4255400,1,efi_sno,1
Diabetes,4255401,1,efi_sno,1
Diabetes,4223463,1,efi_sno,1
Diabetes,4221344,1,efi_sno,1
Diabetes,4235410,1,efi_sno,1
Diabetes,42537120,1,efi_sno,1
Diabetes,4219845,1,efi_sno,1
Diabetes,44788733,1,efi_sno,1
Diabetes,37017429,1,efi_sno,1
Diabetes,37018728,1,efi_sno,1
Diabetes,44790887,1,efi_sno,1
Diabetes,4145827,1,efi_sno,1
Diabetes,44792868,1,efi_sno,1
Diabetes,44805212,1,efi_sno,1
Diabetes,43021173,1,efi_sno,1
Diabetes,43021174,1,efi_sno,1
Diabetes,40350831,1,efi_sno,1
Diabetes,40350836,1,efi_sno,1
Diabetes,40350837,1,efi_sno,1
Diabetes,376112,1,efi_sno,1
Diabetes,443238,1,efi_sno,1
Diabetes,4226354,1,efi_sno,1
Dizziness,40332732,1,efi_sno,0
Dizziness,4012520,1,efi_sno,0
Dizziness,4335747,1,efi_sno,0
Dizziness,78162,1,efi_sno,0
Dizziness,4111253,1,efi_sno,0
Dizziness,79833,1,efi_sno,0
Dizziness,81303,1,efi_sno,0
Dizziness,433316,1,efi_sno,0
Dizziness,4223938,1,efi_sno,0
Dizziness,439383,1,efi_sno,0
Dizziness,4335745,1,efi_sno,0
Dizziness,4335746,1,efi_sno,0
Dizziness,4194391,1,efi_sno,0
Dizziness,4337454,1,efi_sno,0
Dizziness,4224944,1,efi_sno,0
Dizziness,4196201,1,efi_sno,0
Dizziness,4079560,1,efi_sno,0
Dizziness,4319017,1,efi_sno,0
Dizziness,81878,1,efi_sno,0
Dizziness,4141386,1,efi_sno,0
Dizziness,4198449,1,efi_sno,0
Dizziness,4147179,1,efi_sno,0
Dizziness,4111254,1,efi_sno,0
Dizziness,4077223,1,efi_sno,0
Dyspnoea,312437,1,efi_sno,0
Dyspnoea,4059021,1,efi_sno,0
Dyspnoea,4059022,1,efi_sno,0
Dyspnoea,4060052,1,efi_sno,0
Dyspnoea,4041664,1,efi_sno,0
Dyspnoea,4060439,1,efi_sno,0
Dyspnoea,4263848,1,efi_sno,0
Dyspnoea,4310172,1,efi_sno,0
Falls,4059015,1,efi_sno,0
Falls,435991,1,efi_sno,0
Falls,437175,1,efi_sno,0
Falls,4087528,1,efi_sno,0
Falls,4185197,1,efi_sno,0
Falls,4184243,1,efi_sno,0
Falls,44790998,1,efi_sno,0
Falls,44791368,1,efi_sno,0
Falls,44791740,1,efi_sno,0
Falls,4310026,1,efi_sno,0
Foot problems,4053100,1,efi_sno,0
Foot problems,4085778,1,efi_sno,0
Foot problems,137063,1,efi_sno,0
Foot problems,4168775,1,efi_sno,0
Foot problems,4126101,1,efi_sno,0
Foot problems,4143127,1,efi_sno,0
Foot problems,4136647,1,efi_sno,0
Fragility fracture,40262821,1,efi_sno,1
Fragility fracture,4211987,1,efi_sno,1
Fragility fracture,4150726,1,efi_sno,1
Fragility fracture,4075914,1,efi_sno,1
Fragility fracture,40262909,1,efi_sno,1
Fragility fracture,4079100,1,efi_sno,1
Fragility fracture,4077624,1,efi_sno,1
Fragility fracture,4159841,1,efi_sno,1
Fragility fracture,4079102,1,efi_sno,1
Fragility fracture,4076334,1,efi_sno,1
Fragility fracture,4079114,1,efi_sno,1
Fragility fracture,4001458,1,efi_sno,1
Fragility fracture,40399864,1,efi_sno,1
Fragility fracture,4069525,1,efi_sno,1
Fragility fracture,40480160,1,efi_sno,1
Fragility fracture,437993,1,efi_sno,1
Fragility fracture,4011657,1,efi_sno,1
Fragility fracture,4009286,1,efi_sno,1
Fragility fracture,4013596,1,efi_sno,1
Fragility fracture,4013155,1,efi_sno,1
Fragility fracture,4013597,1,efi_sno,1
Fragility fracture,4013601,1,efi_sno,1
Fragility fracture,4013604,1,efi_sno,1
Fragility fracture,4013605,1,efi_sno,1
Fragility fracture,4008220,1,efi_sno,1
Fragility fracture,4013158,1,efi_sno,1
Fragility fracture,4013612,1,efi_sno,1
Fragility fracture,4013613,1,efi_sno,1
Fragility fracture,4008356,1,efi_sno,1
Fragility fracture,4013747,1,efi_sno,1
Fragility fracture,4010070,1,efi_sno,1
Fragility fracture,4008510,1,efi_sno,1
Fragility fracture,4009296,1,efi_sno,1
Fragility fracture,40407398,1,efi_sno,1
Fragility fracture,440538,1,efi_sno,1
Fragility fracture,40407425,1,efi_sno,1
Fragility fracture,4010376,1,efi_sno,1
Fragility fracture,4131595,1,efi_sno,1
Fragility fracture,439946,1,efi_sno,1
Fragility fracture,40408241,1,efi_sno,1
Fragility fracture,4015494,1,efi_sno,1
